comparison_group_id,source_year,workbook_name,sheet_name,chapter,topic,likely_table_title,geography_level_candidate,max_rows,max_columns,probable_header_row,probable_data_start_row,region_candidate_count,detected_years,group_geography_levels,comparison_status,manual_validation_required
FY-021,2024,Statistical-Yearbook-2024.xlsx,4-18,Health Activities,Activity,"Outpatients and Inpatients in Mental Health Departments, MOH, According to Main Disease Groups of ICD-10, 2024G.",Unknown / National / Other,28,13,5,6,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-022,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,25,Health Activities,Capacity | Activity,"Inpatients in Other Governmental Sector Hospitals by Nationality, 2021G",Unknown / National / Other,52,14,15,17,7,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-022,2022,2022-Chapter-IV-Health-Activities.xlsx,24,Health Activities,Capacity | Activity,"Inpatients in Other Governmental Sector Hospitals by Nationality, 2022G",Unknown / National / Other,62,14,15,16,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-022,2023,Statistical-Yearbook-2023.xlsx,24.,Unknown / Other,Capacity | Activity,"Inpatients in Other Governmental Sector Hospitals by Nationality, 2023G",Unknown / National / Other,54,14,15,16,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-022,2024,Statistical-Yearbook-2024.xlsx,4-27,Health Activities,Capacity | Activity,"Inpatients in Other Governmental Sector Hospitals by Nationality, 2024G",Unknown / National / Other,54,14,15,16,4,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-023,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,26,Health Activities,Capacity | Activity,"Inpatients in Health Sectors Hospitals, KSA in the last Five Years",Unknown / National / Other,20,9,5,6,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-023,2022,2022-Chapter-IV-Health-Activities.xlsx,25,Health Activities,Capacity | Activity,"Inpatients in Health Sectors Hospitals, KSA in the last Five Years",Unknown / National / Other,20,9,9,10,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-023,2023,Statistical-Yearbook-2023.xlsx,25.,Unknown / Other,Capacity | Activity,"Inpatients in Health Sectors Hospitals, KSA in the last Five Years",Unknown / National / Other,20,9,9,10,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-023,2024,Statistical-Yearbook-2024.xlsx,4-31,Health Activities,Capacity | Activity,"Inpatients in Health Sectors Hospitals, KSA in the last Five Years",Unknown / National / Other,19,9,9,10,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-024,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,31,Health Activities,Capacity | Activity,"Surgical Interventions at Other Governmental Sector Hospitals by Section, 2021G",Unknown / National / Other,122,59,7,8,5,,Unknown / National / Other,CANDIDATE_ONLY,YES
