year_a,workbook_a,sheet_a,title_a,year_b,workbook_b,sheet_b,title_b,topic,similarity_score,manual_validation_required
2022,2022-Chapter-II-Health-Resources.xlsx,2.28,"Health Manpower in the Other Governmental Sector by Nationality, in the last Five Years",2024,Statistical-Yearbook-2024.xlsx,2-38,"Health Manpower in the Other Governmental Sector by Nationality, in the last Five Years",Workforce,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.29,"Private Sector Hospitals, Medical Complexes, Beds and Other Medical Facilities by Health Region, 2022G.",2023,Statistical-Yearbook-2023.xlsx,34,"Private Sector Hospitals, Medical Complexes, Beds and Other Medical Facilities by Health Region, 2023G.",Capacity | Workforce,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.30,المستشفيات والأسرة والمجمعات الطبية بالقطاع الخاص حسب المنطقة الصحية في الأعوام الخمسة الأخيرة,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.30,المستشفيات والأسرة والمجمعات الطبية بالقطاع الخاص حسب المنطقة الصحية في الأعوام الخمسة الأخيرة,Capacity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.30,المستشفيات والأسرة والمجمعات الطبية بالقطاع الخاص حسب المنطقة الصحية في الأعوام الخمسة الأخيرة,2023,Statistical-Yearbook-2023.xlsx,35,المستشفيات والأسرة والمجمعات الطبية بالقطاع الخاص حسب المنطقة الصحية في الأعوام الخمسة الأخيرة,Capacity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.31,"Hospital Beds at Private Sector by Health Region and Speciality , 2022G.",2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.31,"Hospital Beds at Private Sector by Health Region and Speciality , 2021G.",Capacity | Activity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.31,"Hospital Beds at Private Sector by Health Region and Speciality , 2022G.",2023,Statistical-Yearbook-2023.xlsx,36,"Hospital Beds at Private Sector by Health Region and Speciality , 2023G.",Capacity | Activity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.32,"Single Doctor Private Clinics by Health Region and Speciality, 2022G.",2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.32,"Single Doctor Private Clinics by Health Region and Speciality, 2021G.",Workforce | Activity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.32,"Single Doctor Private Clinics by Health Region and Speciality, 2022G.",2023,Statistical-Yearbook-2023.xlsx,37,"Single Doctor Private Clinics by Health Region and Speciality, 2023G.",Workforce | Activity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2-33,Health Manpower at Private Sector in the last Five Years,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-33,Health Manpower at Private Sector in the last Five Years,Workforce,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2-33,Health Manpower at Private Sector in the last Five Years,2023,Statistical-Yearbook-2023.xlsx,38,Health Manpower at Private Sector in the last Five Years,Workforce,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2-33,Health Manpower at Private Sector in the last Five Years,2024,Statistical-Yearbook-2024.xlsx,2-39,Health Manpower at Private Sector in the last Five Years,Workforce,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.34,"Health Manpower in the Private Sector by Health Region,Category,Sex and Nationality, 2022G",2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.34,"Health Manpower in the Private Sector by Health Region,Category,Sex and Nationality, 2021G",Workforce,1.0,YES
