comparison_group_id,source_year,topic,workbook_name,sheet_name,grain_candidate,geography_candidate,units_candidate,confirmed_grain,confirmed_key_columns,confirmed_measure_columns,manual_status
FY-031,2023,Capacity | Activity,Statistical-Yearbook-2023.xlsx,48.,Year × National / Other Geography × Facility / Capacity Measure × Activity Type,UNKNOWN_OR_NATIONAL,COUNT,,,,PENDING
FY-031,2024,Capacity | Activity,Statistical-Yearbook-2024.xlsx,4-61,Year × National / Other Geography × Facility / Capacity Measure × Activity Type,UNKNOWN_OR_NATIONAL,COUNT,,,,PENDING
FY-032,2021,Activity,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig1,Year × National / Other Geography × Activity Type,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-032,2022,Activity,2022-Chapter-IV-Health-Activities.xlsx,fig1,Year × National / Other Geography × Activity Type,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-032,2023,Activity,Statistical-Yearbook-2023.xlsx,fig1,Year × National / Other Geography × Activity Type,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-032,2024,Activity,Statistical-Yearbook-2024.xlsx,fig1,Year × National / Other Geography × Activity Type,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-033,2021,Activity,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig2,Year × National / Other Geography × Activity Type,UNKNOWN_OR_NATIONAL,PERCENT,,,,PENDING
FY-033,2022,Activity,2022-Chapter-IV-Health-Activities.xlsx,fig2,Year × National / Other Geography × Activity Type,UNKNOWN_OR_NATIONAL,PERCENT,,,,PENDING
FY-033,2023,Activity,Statistical-Yearbook-2023.xlsx,fig2,Year × National / Other Geography × Activity Type,UNKNOWN_OR_NATIONAL,PERCENT,,,,PENDING
FY-033,2024,Activity,Statistical-Yearbook-2024.xlsx,fig2,Year × National / Other Geography × Activity Type,UNKNOWN_OR_NATIONAL,PERCENT,,,,PENDING
FY-034,2021,Capacity,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig3,Year × National / Other Geography × Facility / Capacity Measure,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-034,2022,Capacity,2022-Chapter-IV-Health-Activities.xlsx,fig3,Year × National / Other Geography × Facility / Capacity Measure,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-034,2023,Capacity,Statistical-Yearbook-2023.xlsx,fig3,Year × National / Other Geography × Facility / Capacity Measure,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-034,2024,Capacity,Statistical-Yearbook-2024.xlsx,fig3,Year × National / Other Geography × Facility / Capacity Measure,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-036,2021,Activity,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig5,Year × National / Other Geography × Activity Type,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-036,2022,Activity,2022-Chapter-IV-Health-Activities.xlsx,fig5,Year × National / Other Geography × Activity Type,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-036,2023,Activity,Statistical-Yearbook-2023.xlsx,fig5,Year × National / Other Geography × Activity Type,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-036,2024,Activity,Statistical-Yearbook-2024.xlsx,fig5,Year × National / Other Geography × Activity Type,UNKNOWN_OR_NATIONAL,,,,,PENDING
